youtube_id,title,is_premium,serie_id,channel_name,channel_handle,language
weRNpFl_FV8,"Shiki Gains the Upper Hand | Tougen Anki | Clip | Netflix Anime",false,171,"Netflix Anime",@netflixanime,ja
pyu-1cJiDls,"Play Ball! | DAN DA DAN | Clip | Netflix Anime",false,95,"Netflix Anime",@netflixanime,ja
7gPrjwqxSJA,"Chinatsu Gets a Makeover | Blue Box | Clip | Netflix Anime",false,150,"Netflix Anime",@netflixanime,ja
05EIB6kOu6Y,"Slur and Sakamoto Face Off! | SAKAMOTO DAYS Season 1 Part 2 | Clip | Netflix Anime",false,149,"Netflix Anime",@netflixanime,ja
X_spv9UMVww,"Fearful Sounds | The Summer Hikaru Died | Netflix Anime",false,172,"Netflix Anime",@netflixanime,ja
p28Kb_sM804,"Catch That Cat, Sakura! | WIND BREAKER | Clip | Netflix Anime",false,119,"Netflix Anime",@netflixanime,ja
dLKYFu_sMTM,"Jinwoo vs Kargalgan | Solo Leveling Season 2 -Arise from the Shadow-",false,2,"Crunchyroll",@crunchyroll,ja
OX7Cx6YynYA,"Chinatsu's Beach Day | Blue Box | Clip | Netflix Anime",false,150,"Netflix Anime",@netflixanime,ja
06kk5yYrNb8,"Their True Identity (Spoilers!) | Moonrise | Clip | Netflix Anime",false,173,"Netflix Anime",@netflixanime,ja
BIDRC1Dm0lo,"A Mother's Guidance | My Happy Marriage Season 2 | Clip | Netflix Anime",false,106,"Netflix Anime",@netflixanime,ja
owl8jzFuQqU,"Their Reunion | My Happy Marriage Season 2 | Clip | Netflix Anime",false,106,"Netflix Anime",@netflixanime,ja
rhmTVvESwoA,"The Tengu, Kanshi Kazamatsuri | WITCH WATCH | Clip | Netflix Anime",false,174,"Netflix Anime",@netflixanime,ja
