youtube_id,title,is_premium,serie_id
PsLO4YW5yuE,"Welcher Erstklässler ist stärker? | Reign of the Seven Spellblades",false,23
Ghl19Usxu4o,"Ryota wird zum Bösewicht | My Unique Skill Makes Me OP even at Level 1",false,33
QKvzULepUZk,"Engelsflügel | Platinum End",false,46
gGhU925HI9E,"Schwarz vor Augen | Play It Cool, Guys",false,34
Kf9t4MEuCv8,"Lasst den Kampf beginnen! | Reign of the Seven Spellblades",false,23
hzfnbh5ZVWs,"Rudeus' erste Begegnung mit Fitz | Mushoku Tensei: Jobless Reincarnation",false,73
jHKGzz7-mbI,"All You Can Eat | The Great Cleric",false,36
TUOojvVpJvs,"Der Rettungsversuch | Play It Cool, Guys",false,34
0Zw3Ua75v9c,"Katzen-Sith | The Ancient Magus' Bride Staffel 2",false,24
0CvoP619B5g,"Er hat keine Ahnung, dass sie Kindheitsfreunde sind | Play It Cool, Guys",false,34
mn__S0vymDc,"Das Bento | Play It Cool, Guys",false,34
X3ZzzD3S8Vo,"Ein Ort, den man Zuhause nennt | My Unique Skill Makes Me OP even at Level 1",false,33
Nj5EF3Tb4lw,"Raeliana beobachtet den Duke | Raeliana – Warum sie die Verlobte des Dukes wurde",false,41
EpOR-ZStTVo,"Das Leben hinter der Grenze | Sacrificial Princess and the King of Beasts",false,25
jQgaeLVUo9c,"Wistoria: Wand and Sword - Folge 1",false,78
t0SQPbD2F08,"BLUE LOCK - Folge 1",false,53
O2w9acaudd8,"Shangri-La Frontier - Folge 1",false,66
JS20VIyJS6o,"Yamada-kun and the Seven Witches - Folge 1",false,26
D5TXBYTuELs,"Alya Sometimes Hides Her Feelings in Russian - Folge 1",false,17
TAU8DQD5L4I,"Rent-a-Girlfriend - Folge 1",false,1
DCGg_3zQPcI,"Bye Bye, Earth - Folge 1",false,16
j0XUxU_bfX0,"Gods' Games We Play - Folge 1",false,15
_VY1W6AQDMA,"Shikimori's Not Just a Cutie - Folge 1",false,19
bDbnro9D6aY,"Tokyo Revengers - Folge 1",false,18
cDjybFLiie8,"Meine Wiedergeburt als Schleim in einer anderen Welt - Folge 1",false,14
Bk5tvoBKR6E,"Mob Psycho 100 - Folge 1",false,13
kCy8YaXKxdc,"Recovery of an MMO Junkie - Folge 1",false,12
VPLZWJpasN0,"Miss Kobayashi's Dragon Maid - Folge 1",false,11
Zjm4QgINO5Q,"I've Been Killing Slimes For 300 Years And Maxed Out My Level - Folge 1",false,10
SYIeGi-DYVA,"Battle Game in 5 Seconds - Folge 1",false,9
i9-meNe0aVk,"The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat - Folge 1",false,8
WUgkUesvIf4,"DON'T TOY WITH ME, MISS NAGATORO - Folge 1",false,3
njg8EQ6HB0c,"To Your Eternity - Folge 1",false,7
VXjndTGLFOg,"Love of Kill - Folge 1",false,4
Vm4uVvZ-sFc,"Der stärkste Held mit dem Mal der Schwäche - Folge 1",false,6
7ymELdRKN10,"SAKUGAN - Folge 1",false,5
IxkiNp8FAy8,"The Rising of the Shield Hero - Folge 1",false,37
PybFNbRYXds,"DARLING in the FRANXX - Folge 1",false,71
ak1PjoYYIlQ,"The Ancient Magus' Bride - Folge 1",false,24
hJz1eZGIpas,"In the Land of Leadale - Folge 1",false,79
21OOXvlizeA,"Death March to the Parallel World Rhapsody - Folge 1",false,39
ChZavXHz4RI,"Classroom of the Elite Staffel 2 - Folge 1",false,51
u8jLDbwM564,"The Greatest Demon Lord Is Reborn as a Typical Nobody - Folge 1",false,15
7NwjMYNNDUs,"Sekaiichi Hatsukoi – The World's Greatest First Love - Folge 1",false,81
X1X1WZ9eq2I,"ORIENT - Folge 1",false,82
O855u1DPACs,"The Rising of the Shield Hero Season 2 - Folge 1",false,37
CvlVuSN_twQ,"JUJUTSU KAISEN - Folge 1",false,76
zqPM2MHGJH4,"Arc liebt Ninjas | Skeleton Knight in Another World",false,47
LGIYaDnKn2c,"Ninjas benutzen Waffen | Shinobi no Ittoki",false,22
Zp5JYQxAbqw,"Humanoider Taifun | TRIGUN STAMPEDE",false,27
oMi3wphu-y4,"Die Vergangenheit mit Ilya | Sacrificial Princess and the King of Beasts",false,25
ic3quP2u4wQ,"Hilf mir! | The Ancient Magus' Bride Staffel 2",false,24
fcFk5QTYMTQ,"Sechs Köpfe fehlen auf Olivers Liste | Reign of the Seven Spellblades",false,23
93gqE_auB5A,"Die unerwiderte Liebe | Masamune-kun's Revenge R",false,21
o_6ksgfWZl0,"Rukas Bikini | Rent-a-Girlfriend",false,1
Vzz9yRBW6kQ,"Wollen wir bald wieder auf ein Date? | Masamune-kun's Revenge R",false,21
BBMUOQzmjSg,"Das zweite Date! | Masamune-kun's Revenge R",false,21
TbImoYmMNk8,"Suzaka gegen Ittoki | Shinobi no Ittoki",false,22
axRttpH2zwA,"Aki erfährt die Wahrheit | Masamune-kun's Revenge R",false,21
Vsaf9kBpnLQ,"Kein ganz so guter Morgen | Dead Mount Death Play",false,20
CTL_OChPMgM,"Seine Rache geht weiter! | Masamune-kun's Revenge R",false,21
f9r7xFXdM_k,"Zwei Magierinnen | Dead Mount Death Play",false,20
VsGdfJ1GHDM,"Amelia VS Ariane | The Iceblade Sorcerer Shall Rule the World",false,31
REL3hXORoZM,"Angriff der Kapuzenträger | Dr. STONE NEW WORLD",false,67
4-_P6vIrpIo,"Millions Knives | TRIGUN STAMPEDE",false,27
BpJ2MuqGEAY,"Tsukasa ist ein Ninja | TONIKAWA: Over The Moon For You",false,30
MCfhYLAILA8,"Vernarrt in die eigene Mutter | Kaguya-sama: Love Is War -Ultra Romantic-",false,29
lLF1ngT34Gc,"Super Butler | Kaguya-sama: Love Is War -Ultra Romantic-",false,29
xLtGfXuDQjY,"Spare Wasser, Trink Bier | SHY",false,28
kzIKnayx_JI,"Was empfindest du für Carol? | Tomo-chan Is a Girl!",false,42
LtFg1Xs-Ivo,"Das Stofftier hat eine Seele | Dead Mount Death Play",false,20
Nul3urWZ4zE,"Das Wiedersehen | TRIGUN STAMPEDE",false,27
E-o9MWO_rXo,"Die wahre Chizuru Mizuhara | Rent-a-Girlfriend",false,1
GT6vIZSKO_Q,"Nanao ist stinksauer | Reign of the Seven Spellblades",false,23
c1M9WvS5hWs,"Alle Besen lieben Nanao | Reign of the Seven Spellblades",false,23
1CATVaIcnIY,"Die Schwertblumen | Reign of the Seven Spellblades",false,23
OX_qT7KnMAI,"Mit der "Freundin" unter der Decke verstecken | Rent-a-Girlfriend",false,1
rJBIywABn84,"Das Versteck | Rent-a-Girlfriend",false,1
mrSaS2pZHlg,"Essenswettbewerb | Reborn as a Vending Machine, I Now Wander the Dungeon",false,32
Xg77EETL-9E,"Pete VS Miss Cornwallis | Reign of the Seven Spellblades",false,23
OH8TmcKKdP4,"Neues Outfit für Raphtalia | The Rising of the Shield Hero",false,37
MolgoGJ_JJU,"In 10 Tagen zum Zauberer | The Great Cleric",false,36
i2Xt32bG7kY,"Naomi hat sehr viele Geheimnisse | Metallic Rouge",false,35
xIXEYvhJYs0,"Rays Lächeln verändert ihr Leben | The Iceblade Sorcerer Shall Rule the World",false,31
Fg0VwwZxajQ,"Angriff der Kakerlaken! | My Unique Skill Makes Me OP even at Level 1",false,33
1CATVaIcnIY,"Die Schwertblumen | Reign of the Seven Spellblades",false,23
8M-RVr6ZMQI,"Coole Pose | DON'T TOY WITH ME, MISS NAGATORO",false,3
F8NzObsflUE,"Ray lebt seine Rolle | The Iceblade Sorcerer Shall Rule the World",false,31
T_GQs72T35s,"Waffen vergangener Helden | The Faraway Paladin",false,84
6q6mM1uEeJk,"Auf Twitter über Liebe lernen | TONIKAWA: Over The Moon For You",false,30
4TKx4dMpCUI,"Lass uns Freunde sein! | Classroom of the Elite",false,51
QGd6BwL3aM0,"Rollentausch im Maidcafé | I'm in Love with the Villainess",false,49
xPoYB65fN2Y,"Glücklich bis ans Lebensende | In Another World With My Smartphone",false,50
jvujgra7jQM,"Ein Freund für Elias? | The Ancient Magus' Bride",false,24
sy4luBZ25ro,"Erstmal ein Selfie | Rent-a-Girlfriend",false,1
J26ldOs01AY,"Wenn ein Hase einen Löwen rettet | Shikimori's Not Just a Cutie",false,19
lKeKB6EyXeY,"Der Deal mit dem Duke | Raeliana – Warum sie die Verlobte des Dukes wurde",false,41
kzIKnayx_JI,"Was empfindest du für Carol? | Tomo-chan Is a Girl!",false,42
rbUq21wvMSo,"Lebe wohl! | Masamune-kun's Revenge R",false,21
UIaE-lAGcn8,"Das Willkommensbankett | Reign of the Seven Spellblades",false,23
UgTLJBA3tng,"Einmal den Kopf streicheln, bitte! | I'm in Love with the Villainess",false,49
LtFg1Xs-Ivo,"Das Stofftier hat eine Seele | Dead Mount Death Play",false,20
V3NmNDKYf9s,"Die Macht der Oberschenkel! | Deutsche Synchro | The Legendary Hero is Dead!",false,48
KeLd_pl_ta8,"Fushis Freunde | To Your Eternity",false,7
2hB6RPmxKBU,"Gruselgeschichte | TRIGUN STAMPEDE",false,27
lZ3KZ0mJBQI,"Ryota und Neptune retten den Tag | My Unique Skill Makes Me OP even at Level 1",false,33
rybq0mepRvw,"Zuhören ist wichtig | Reborn as a Vending Machine, I Now Wander the Dungeon",false,32
_uEiRlHgUQk,"Sumi kommt zu Besuch | Deutsche Synchro | Rent-a-Girlfriend",false,1
INl4Mm0nr8U,"Warum wolltest du mich heiraten? | Deutsche Synchro | TONIKAWA: Over The Moon For You",false,30
I-lSa0RSPKQ,"Nagatoro sieht einen Panda | Deutsche Synchro | DON'T TOY WITH ME, MISS NAGATORO",false,3
CTId_8xozOY,"Pastry wird erwachsen | Sweet Reincarnation",false,52
15T4nq6vLwQ,"Chizurus wahres Gesicht | Rent-a-Girlfriend",false,1
LpQ-Fztfif8,"Wir könnten uns gegenseitig füttern | Masamune-kun's Revenge R",false,21
PgVL40tB41I,"Gespräch mit einem Gerät | Reborn as a Vending Machine, I Now Wander the Dungeon",false,32
uzLlsXtswq0,"Ninja mit flauschigen Ohren | Skeleton Knight in Another World",false,47
787-52EqrHM,"Nasa wird von alter Frau verarscht | TONIKAWA: Over The Moon For You",false,30
ZhO8mk41We0,"Traktor von Gott | KamiKatsu: Meine Arbeit als Missionar in einer gottlosen Welt",false,85
aL-emLFpLFQ,"Schlechter Vater | SAKUGAN",false,5
kSqn8xng6NA,"So begrüßen sich Oberschülerinnen | DON'T TOY WITH ME, MISS NAGATORO",false,3
aRwx5CSm-T8,"Jiro, es tut mir leid... | More than a Married Couple, but Not Lovers.",false,45
re_6ayM67Gs,"Nasa hat sich gehen lassen | Deutsche Synchro | TONIKAWA: Over The Moon For You",false,30
6W76xnLMBXA,"Nagatoro füttert Senpai | DON'T TOY WITH ME, MISS NAGATORO",false,3
rvC0eOcofQw,"Danke für alles, Chizuru | Rent-a-Girlfriend",false,1
PxtwjqVL9w8,"Shin'ichi VS Uzaki | Uzaki-chan Wants to Hang Out!",false,44
K_l1J_t9_XM,"Mach keine komischen Geräusche! | Uzaki-chan Wants to Hang Out!",false,44
1LmxbDAntLw,"Du bist schlecht im umarmen! | TONIKAWA: Over The Moon For You",false,30
0HzxzbjgfeA,"Bist du stolz? | Sacrificial Princess and the King of Beasts",false,25
Gy9zHNH_67c,"Geld ist alles | The Rising of the Shield Hero",false,37
v536_wpfTkw,"Fiona denkt immer nur an das eine | SPY x FAMILY",false,43
lSSJQJ_Xvig,"Guten Appetit | In Another World With My Smartphone",false,50
PWDaKLOBjpQ,"Tomos Geständnis beim Feuerwerk | Tomo-chan Is a Girl!",false,42
XK7gvgV6vH4,"Du bist so süß! | Raeliana – Warum sie die Verlobte des Dukes wurde",false,41
4zueCbyzm_0,"Der Versuch zu flirten | The Dawn of the Witch",false,40
EzLDxXttpfc,"Flamme der Hoffnung | SHY",false,28
Pyv6-IIpMtk,"Knochenbrecher Shin'ichi | Deutsche Synchro | Uzaki-chan Wants to Hang Out!",false,44
HhO7NFViYX0,"Ruka rastet aus | Rent-a-Girlfriend",false,1
DDkeVLn7fvk,"Wie man beliebt wird | Tomo-chan Is a Girl!",false,42
UTjsWhtrq4g,"Findet ihr mich lästig? | Kaguya-sama: Love Is War",false,29
_OHU2_k-aRc,"Du bist mein Bre! | Rent-a-Girlfriend",false,1
nt48YAz9ids,"Liebesratschlag | The Rising of the Shield Hero",false,37
xYg9QymwuaI,"Sie beschwört die heilige Bestie | Sacrificial Princess and the King of Beasts",false,25
KNCUE-D4t2Y,"Bleib bitte an meiner Seite | Raeliana – Warum sie die Verlobte des Dukes wurde",false,41
xRg_cPccdqo,"Die Wahrheit | Masamune-kun's Revenge R",false,21
xmUG9eOeROM,"Ein Missverständnis | Death March to the Parallel World Rhapsody",false,39
uoVZcoYkz6M,"Im Land der Drachen | The Ancient Magus' Bride",false,24
Kao_i3jhOCY,"Ein Ordinary hat mich berührt! | Deutsche Synchro | The Iceblade Sorcerer Shall Rule the World",false,31
DWWB3FVa-fc,"Lange nicht gesehen | Akashic Records of the Bastard Magic Instructor",false,38
lI_2_rFwZe4,"Heutige Lektion: Töte die wenigsten Lebewesen | Reign of the Seven Spellblades",false,23
CTId_8xozOY,"Pastry wird erwachsen | Sweet Reincarnation",false,52
ya3I5t_RAeo,"Der Metal Ryota ist sehr stark | My Unique Skill Makes Me OP even at Level 1",false,33
Ja7bHmHwFL0,"Er hat zwei Mädels | My Unique Skill Makes Me OP even at Level 1",false,33
PLHrlMeJP1w,"Touya bekämpft den General | In Another World With My Smartphone",false,50
WkLAMdW00m0,"Wenn man fast einen Freund am 1. Tag tötet | Reign of the Seven Spellblades",false,23
Vvt46G_i31s,"Roter Drache | The Ancient Magus' Bride Staffel 2",false,24
litHlpKIiRs,"Rette das Eichhörnchen, rette die Welt | Lycoris Recoil",false,57
XiP89NCPMXM,"Willst du mich heiraten? | HAIKYU‼ TO THE TOP",false,54
zFN9HKiJkaQ,"Du bist warm | SHY",false,28
wAhO2eOymMU,"Heh! | Uzaki-chan Wants to Hang Out!",false,44
uc5k1PfaRH0,"Kaguya wird peinlich ertappt | Kaguya-sama: Love Is War -Ultra Romantic-",false,29
U7BPZpZqa5E,"Horikita wird dich erstechen | Classroom of the Elite",false,51
RHkot1SNizw,"Rimuru | Meine Wiedergeburt als Schleim in einer anderen Welt: Feuerrote Bande",false,14
pvKdDk8P4SM,"Die Hauptrolle | Miss Kobayashi's Dragon Maid",false,11
MtL9_s6KTDI,"Der Laden | Miss Kobayashi's Dragon Maid",false,11
lRJBZeNNQnM,"War der Kuss wirklich nötig?! | The Dawn of the Witch",false,40
zWXVMoqhKIk,"Ominöser Man | Miss Kobayashi's Dragon Maid",false,11
1BG00iJcvNM,"Ein starkes Duo | Deutsche Synchro | Lycoris Recoil",false,57
PbalziMfR6I,"Eigenen Namen | Meine Wiedergeburt als Schleim in einer anderen Welt",false,14
UcaMb8nbhnk,"Erste aufgabe abgeschlossen | Miss Kobayashi's Dragon Maid",false,11
kmGALZkGPWs,"Stimmt was nicht? | The Rising of the Shield Hero",false,37
3afPUc2qJPk,"Schlaf mit mir | Raeliana – Warum sie die Verlobte des Dukes wurde",false,41
jMtthzRWC9M,"Rouge trifft auf Naomi | Metallic Rouge",false,35
6cW9m6IzGpE,"Was bisher geschah | BLUE LOCK",false,53
mfadal7FggQ,"Zuvor bei Solo Leveling | Solo Leveling",false,2
dZaM41HZ3G4,"Toukas Vorlieben sind... speziell | The Legendary Hero is Dead!",false,48
bi_bWlCGpI8,"Pralle Oberschenkel | The Legendary Hero is Dead!",false,48
wWQOxIS520U,"Der legendäre Held ist am Leben | The Legendary Hero is Dead!",false,48
nfgsYC92zbY,"Yuna lernt die Wahrheit über Touka | The Legendary Hero is Dead!",false,48
Z_bPUujMSbc,"Er spielt mit ihrem Herzen | The Legendary Hero is Dead!",false,48
naXbzLTHhkQ,"Toukas Falle ist legendär | The Legendary Hero is Dead!",false,48
2cRg56W9hNU,"Anya liebt ihre Eltern | SPY x FAMILY",false,43
KAfVT_mA6gg,"Himenos Aufopferung | Chainsaw Man",false,58
zZhYvWx-4uY,"Steh zu deinem Hobby! | My Dress-Up Darling",false,75
G4Vq7knHF5g,"Gojo hat eine Freundin?! | My Dress-Up Darling",false,75
momlTOwsyuE,"Ferns Erfahrungen | Frieren – Nach dem Ende der Reise",false,55
3SYs2PdAS8E,"Frieren rettet Kanne | Frieren – Nach dem Ende der Reise",false,55
G0j9gcCVDWw,"Operation Superschlau! | Chainsaw Man",false,58
TuDuXbl1a24,"Akira kündigt beim Zombie Boss | Zom 100: Bucket List of the Dead",false,59
br8rUSBX_lE,"Lydia rettet Ray | The Iceblade Sorcerer Shall Rule the World",false,31
DI7MfnnLZxE,"Spaß im Badehaus | Deutsche Synchro | TONIKAWA: Over The Moon For You",false,30
k1p8g1xtGLE,"Ein Zauber von gewaltiger Stärke | I'm in Love with the Villainess",false,49
wfnO92SEfkg," Ein neuer Job | Akashic Records of Bastard Magic Instructor",false,38
RVyhFZF5ius,"Er ist ein Anime-Fan?!| Reborn as a Vending Machine, I Now Wander the Dungeon",false,32
IKqMWcluct8,"Komplizierte Welt | Mob Psycho 100",false,13
pcJNVThJEpA,"Akis erstes Treffen mit Himeno | Chainsaw Man",false,58
jE-7-mX6UHw,"Yor rettet die Katze | SPY x FAMILY",false,43
9nsnSiu-z84,"Eine stolze Heldin | SHY",false,28
CHRdUPMOPMo,"Filmreife Leistung | SHY",false,28
VCQHQGIHr7k,"Raeliana muss umziehen | Raeliana – Warum sie die Verlobte des Dukes wurde",false,41
KdmyB5rz07c,"Der reiche Schönling stiehlt die Show | Trapped in a Dating Sim",false,60
nZEU6z9qb_M,"Arisa & Lulu | Death March to the Parallel World Rhapsody",false,39
GBGC2gLela8,"Die Erfindung der "neuen" Medizin | Parallel World Pharmacy",false,63
9krHXNnzAbo,"Gott des Todes | 86 EIGHTY-SIX",false,64
XkJHoR9sCmo,"Raeliana wird gequält | Raeliana – Warum sie die Verlobte des Dukes wurde",false,41
r3e_IfCTWW0,"Vernarrt in Mutter und Tochter | Uzaki-chan Wants to Hang Out!",false,44
BCwndsRwWGc,"Chise rettet Philomela | Deutsche Synchro | The Ancient Magus' Bride",false,24
7ESB03Duf3A,"Ein Skelett als Spanner | The Legendary Hero is Dead!",false,48
4FCYAkxQGuI,"Überraschungsangriff | Dead Mount Death Play",false,20
7qHBCLeqTi0,"Carols Geschenk | Tomo-chan Is a Girl!",false,42
cN0vc1RhvsY,"Wir können nicht mehr für sie tun | Schwarzes Marken",false,62
OaJVzzwLAMY,"Yuzurihas Verführung | Hell's Paradise",false,61
Yzlc511bDxo,"Der Tod | Hell's Paradise",false,61
CsSfOWha4wM,"Ich bin nur auf seinen Körper scharf!" | Uzaki-chan Wants to Hang Out!",false,44
y5zJvsISO0A,"Sie ist seine Kraft | Sacrificial Princess and the King of Beasts",false,25
dOCMdcl3DwM,"Alle Retten | Dr. STONE",false,67
qg-KJqI1y1g,"Kein Gewöhnliches Magie | Meine Wiedergeburt als Schleim in einer anderen Welt",false,14
jOsjG8flEmM,"Kon | Chainsaw Man",false,67
WttLlwbSaC0,"Er versteht es nicht | Tomo-chan Is a Girl!",false,42
7D9i1dt3YCA,"Wassermelone | Dr. STONE",false,67
RewjY8umHMI,"Die Hexe des Höllenfeuers | The Case Study of Vanitas",false,68
kCHyxujsmgA,"Wie Röcke funktionieren | Tomo-chan Is a Girl!",false,42
tiGmj46SObQ,"Schräger Aufsteiger | HAIKYU‼ TO THE TOP",false,72
HOMIj8ry3nE,"Das Schlachtfeld einer Göttin | The Ancient Magus' Bride Staffel 2",false,24
I4EDrqWcePo,"P-P-P-Pinguin! | SPY x FAMILY",false,43
cNIH4NPqC-U,"Keine Ahnung | Yamada-kun and the Seven Witches",false,26
RLDEKg3Db64,"Anya steckt in der Klemme | SPY x FAMILY",false,43
"-1ZViq235Ig","Shinomiyas Stimme | Kaguya-sama: Love Is War",false,29
HhAAsG6sYYE,"Einhorn | Miss Kobayashi's Dragon Maid",false,11
vN2GGEm44wo,"Er hat seine zukünftige Frau getroffen | BUCCHIGIRI?!",false,72
o61WSjMvlNU,"Einen Kampf mit einem neu entdeckten Glitch gewinnen | Shangri-La Frontier",false,66
9uPyjlc0w-g,"Du bist KEIN Monster | DARLING in the FRANXX",false,71
AJN2f871hlw,"Gens Mangan-Rap | Dr. STONE",false,67
fh3aT5wPMSo,"Guten appetit | Meine Wiedergeburt als Schleim in einer anderen Welt",false,14
aGpa483ndpg,"Maomao bricht Jinshi | Die Tagebücher der Apothekerin",false,70
WqB66uKki8Q,"3700 Jahre Warten | Dr. STONE",false,67
EgLGH3-Q_NY,"Wenn deine Ex dich zurückwill | Rent-a-Girlfriend",false,1
2LKSoPIoISM,"Auf Nimmerwiedersehen | Rent-a-Girlfriend",false,1
IYLz7WaG2yg,"Ein Weihnachtsgeschenk von Chizuru | Rent-a-Girlfriend",false,1
8-xW0xVUJ38,"Unerwiderte Liebe | Rent-a-Girlfriend",false,1
XaNkxVJEUT4,"Ich habe unser Treffen nie bereut | Rent-a-Girlfriend",false,1
V21sAf_UMMY,"Weil ich ihn liebe! | Masamune-kun's Revenge R",false,21
VHQ3D-ykwDQ,"WARUM HAT MICH MEINE LEHRERIN GEKÜSST?! | The Dawn of the Witch",false,40
rEvlqpg8Z3g,"Rae bekommt Konkurrenz | I'm in Love with the Villainess",false,49
rQwhrZE_vzo,"Der Schleim sieht aus wie du! | I'm in Love with the Villainess",false,49
pCmlT6zvL7s,"Claire gesteht Rae ihre Liebe | I'm in Love with the Villainess",false,49
WgVeAeULAyc,"Ayanokōjis Dating-Tipps | Classroom of the Elite",false,51
ihKKjGKCNI0,"Kushida zeigt ihr wahres Gesicht | Classroom of the Elite",false,51
zXR-SgfWo1w,"Seine Schwäche | Classroom of the Elite",false,51
w01942-wI5M,"Ayanokōji Spion | Classroom of the Elite",false,51
vR4-4cdcXTc,"Selbst Ayanokōji bekommt Schokolade geschenkt | Classroom of the Elite",false,51
AS8iwxd8ong,"Rouge wird sauer | Metallic Rouge",false,35
omy2HZy9mU4,"Ninja-Wasser-Technik | Shinobi no Ittoki",false,22
KNDVXFCsqm4,"Das erste Date | Shinobi no Ittoki",false,22
C4dP40lBWsU,"Die Tyrannen austricksen | Shinobi no Ittoki",false,22
PvUUMiQktFk,"Wer ist dein Favorit?" | Shinobi no Ittoki",false,22
y_Qw3j0GzxE,"Ein Geständnis des Wettbewerbs | A Couple of Cuckoos",false,69
iuD1U1pGjfg,"Zu Tode geküsst | The 100 Girlfriends Who Really, REALLY Love You",false,56
a9URc9LI6jg,"Meine Freundin nimmt Drogen | The 100 Girlfriends Who Really, REALLY Love You",false,56
O4S8oQkqu7E,"Kuss?! | The 100 Girlfriends Who Really, REALLY Love You",false,56
be46LBvVE3I,"Bestes Geschenk für Tomo | Tomo-chan Is a Girl!",false,42
