youtube_id,title,is_premium,serie_id,channel_name,channel_handle,language
Q94ANZRwMPE,"Fern es EL FUTURO 🧝‍♀️ | Frieren: Más allá del final del viaje",false,55,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
sqDlS0B4rEU,"Más allá de la locura l Re:ZERO (doblaje en español)",false,107,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
M683RQPpVDc,"¡Jinshi casi casi lo dice! 🫠 | Los diarios de la boticaria temporada 2",false,70,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
g05Ow0F0Mww,"Se suponía que solo serían tres dedos 😳✂️ | Gachiakuta",false,-1,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
aaInnZto8v0,"Un verdadero EGOÍSTA ⚽ | BLUE LOCK Temporada 2",false,53,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
OBwSvsbUTX0,"¡Ese gato sabe cosas! 🐈 | Mieruko-chan",false,112,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
7xuQMl-R6Rg,"El mayor egoísta | BLUELOCK (doblaje latino)",false,53,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
_HaQCClTgxI,"Papá y mamá se dan mimitos 👉👈 | SPY x FAMILY (Doblaje castellano)",false,43,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
hzcGhesobmY,"¡Ya que anden! 🧐 | Frieren: Más allá del final del viaje",false,55,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
6eCbB_OrbBw,"Vivan las NOVIAS 💍❤ | Me enamoré de la villana (Doblaje castellano)",false,49,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
BLEI7BZV6ug,"¿Amor de tres? 🙊 | Masamune-kun's Revenge R (doblaje latino)",false,21,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
wXjne7GjbN4,"Mikasa asciende a través de un infierno para llegar a Eren | Ataque a los Titanes Temporada Final",false,87,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
PBS1FvZVEyg,"¿Qué pasa después? ¡¿QUÉ PASA DESPUÉS?! 🦖 | Masamune-kun's Revenge R (doblaje latino)",false,21,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
NdtoJr7no_g,"¡Fútbol de otro nivel! ⚽🔥 | BLUELOCK (doblaje latino)",false,53,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
RNkpXdF0luM,"Bocchi enfrenta la batalla de comprar en persona 🛍️ | BOCCHI THE ROCK!",false,-1,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
Y3MbGkO79rQ,"¡¿M-Me gusta...Gojo?! | My Dress- Up Darling (doblaje en español)",false,75,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
r1usWyUWzrw,"El primer gol de Isagi ⚽🔥 | BLUELOCK (sub. español)",false,53,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
5Zra8ft999A,"El monstruo de Bachira sabe cosas ⚽🔥 | BLUE LOCK (Doblaje castellano)",false,53,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
ZHlnSNDpvQs,"Eres fuerte...pero no lo suficiente | Solo Leveling",false,2,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
KC1bJD0Fyzw,"Ganar o morir🔥⚔️ | Our Last Crusade or the Rise of a New World",false,-1,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
tpNVC1dsoZw,"Yor está adolorida 💥 | SPY x FAMILY Temporada 2 (Doblaje castellano)",false,43,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
ngGFSlLlUPY,"Así nació la masoquista de la temporada ✨ | Me enamoré de la villana (Doblaje castellano)",false,49,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
cfR68nvHJ4I,"Reacciones químicas que sí me aprendo 🔥⚽| BLUELOCK (Doblaje latino)",false,53,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
71fXB8kD0uw,"Esto es facilito para JINWOO 🔥 | Solo Leveling (Doblaje castellano)",false,2,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
l1uLmfI70ks,"¡Los sentimientos de Subaru impiden la boda de Emilia! 💍 |[Re:ZERO -Starting Life in Another World-]",false,107,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
OKUstQwDdk0,"A las tomboy se les reza 🛐 | Me enamoré de la villana (Doblaje castellano)",false,49,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
xti-nG7mNWU,"¿Bailas conmigo? | The Quintessential Quintuplets (doblaje latino)",false,127,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
X1zcYsHFueM,"¡Así sí se antoja un platito de verduras! 😌 | BLUELOCK (doblaje latino)",false,53,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
aPBp3a9OALc,"¡Dar a luz SÍ da superfuerza! 🙀 | Uzaki-chan Wants to Hang Out! (doblaje latino)",false,44,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
-xUUQ8Dwl0A,"La máquina expendedora te ayuda a ligar | Reborn as a Vending Machine, I Now Wander the Dungeon",false,32,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
hvvtU4RIQbo,"¡TÚ LA MATASTE! l Re:ZERO EN ESPAÑOL",false,107,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
E7a1kJs7Xzc,"Dos mujeres, un camino 🎶 | Masamune-kun's Revenge R (doblaje latino)",false,21,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
GW3xSNF1YJo,"Que hombre tan salvaje, tan luchón...eso me prende  | Why Raeliana Ended Up at the Duke's Mansion",false,41,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
DJiPLNfGVl8,"La villana se preocupa por mí 😍 | Me enamoré de la villana (doblaje latino)",false,49,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
jnwPstPI7mQ,"Déjame pintarte como a una de mis chicas francesas | Masamune kun's Revenge R",false,21,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
hi0sFG8j16s,"Fitz al rescate 😭 | Mushoku Tensei: Jobless Reincarnation Temporada 2 (doblaje latino)",false,73,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
MKMmC-BzlJQ,"El auténtico ""yo quisiese"" 🥺 | My Tiny Senpai (doblaje latino)",false,128,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
Q7I_dYQRTRQ,"Amiga, ¿los otakus viven así? 👀 | My Dress- Up Darling (Doblaje castellano)",false,75,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
-lX_bm2VrTQ,"Ese es el mundo de los bellos y no puedo estar ahí | I Got a Cheat Skill in Another World (latino)",false,65,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
7f6lLxyBf9c,"Una pequeña recompensa | My Dress -Up Darling (doblaje en español)",false,75,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
0NDFRYRfIuE,"El legado de Flamme 🧡 | Frieren: Tras finalizar el viaje (Doblaje castellano)",false,55,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
gKM2AlKTUk0,"Mi precioso 🪙 | Saving 80,000 Gold in Another World for my Retirement",false,-1,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
_mmadhx06sA,"¿Nos bañamos juntos? | TONIKAWA: Over The Moon For You 2",false,30,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
hZJd1oyZudg,"¡¿Yor está enamorada?! | SPY x FAMILY (Doblaje castellano)",false,43,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
I9nulH-5T3M,"¿Me estás retando? 💪 | MASHLE: MAGIC AND MUSCLES Temporada 2 (Doblaje castellano)",false,86,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
2y7M3aewyZE,"¡Qué caloooor, qué calor que tengo yo! | TONIKAWA: Over The Moon For You 2",false,30,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
k84iWqh9kYQ,"El sacrificio de Raphtalia 😭 | The Rising of the Shield Hero (Doblaje castellano)",false,37,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
ADVuFovcwBI,"Aquí apreciamos a las tsunderes ❤ | Me enamoré de la villana (Doblaje castellano)",false,49,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
b1X28zmbVN4,"Mi ropa terminará en el suelo |  My Dress- Up Darling (doblaje en español)",false,75,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
aGfl1CmWx8g,"Aliméntame 🙊 | Masamune-kun's Revenge R (doblaje latino)",false,21,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
