youtube_id,title,is_premium,serie_id,channel_name,channel_handle,language
aA0MoEms1wE,"Ruka Meets His Ex | Rent-a-Girlfriend",false,1,"Crunchyroll",@crunchyroll,ja
weRNpFl_FV8,"Shiki Gains the Upper Hand | Tougen Anki | Clip | Netflix Anime",false,171,"Netflix Anime",@netflixanime,ja
pyu-1cJiDls,"Play Ball! | DAN DA DAN | Clip | Netflix Anime",false,95,"Netflix Anime",@netflixanime,ja
7gPrjwqxSJA,"Chinatsu Gets a Makeover | Blue Box | Clip | Netflix Anime",false,150,"Netflix Anime",@netflixanime,ja
05EIB6kOu6Y,"Slur and Sakamoto Face Off! | SAKAMOTO DAYS Season 1 Part 2 | Clip | Netflix Anime",false,149,"Netflix Anime",@netflixanime,ja
X_spv9UMVww,"Fearful Sounds | The Summer Hikaru Died | Netflix Anime",false,172,"Netflix Anime",@netflixanime,ja
p28Kb_sM804,"Catch That Cat, Sakura! | WIND BREAKER | Clip | Netflix Anime",false,119,"Netflix Anime",@netflixanime,ja
dLKYFu_sMTM,"Jinwoo vs Kargalgan | Solo Leveling Season 2 -Arise from the Shadow-",false,2,"Crunchyroll",@crunchyroll,ja
OX7Cx6YynYA,"Chinatsu's Beach Day | Blue Box | Clip | Netflix Anime",false,150,"Netflix Anime",@netflixanime,ja
06kk5yYrNb8,"Their True Identity (Spoilers!) | Moonrise | Clip | Netflix Anime",false,173,"Netflix Anime",@netflixanime,ja
BIDRC1Dm0lo,"A Mother's Guidance | My Happy Marriage Season 2 | Clip | Netflix Anime",false,106,"Netflix Anime",@netflixanime,ja
owl8jzFuQqU,"Their Reunion | My Happy Marriage Season 2 | Clip | Netflix Anime",false,106,"Netflix Anime",@netflixanime,ja
rhmTVvESwoA,"The Tengu, Kanshi Kazamatsuri | WITCH WATCH | Clip | Netflix Anime",false,174,"Netflix Anime",@netflixanime,ja
BfL8A_8nIMo,"Kafka Locks In | Kaiju No. 8",false,109,"Crunchyroll",@crunchyroll,ja
NmSsKJMSPbE,"Remlin Hit the Full XD Face | Gachiakuta",false,157,"Crunchyroll",@crunchyroll,ja
3APdQhw4vFE,"Kazuya's soul Left His Body | Rent-a-Girlfriend Season 4",false,1,"Crunchyroll",@crunchyroll,ja
hfKqLJHDMWo,"Alicia vs Drel | Clevatess",false,131,"Crunchyroll",@crunchyroll,ja
HX8FHVhQmb8,"Nice vs Dragon Boy | TO BE HERO X",false,158,"Crunchyroll",@crunchyroll,ja
27dI0BIhteI,"Amiya and Hui-chieh vs Kashchey | Arknights: RISE FROM EMBER",false,159,"Crunchyroll",@crunchyroll,ja
LGLVc85ZElU,"Sakuta and Mai Take a Bath Together | Rascal Does Not Dream of Santa Claus",false,140,"Crunchyroll",@crunchyroll,ja
Q-kDNrTm9IA,"They Don't Know He's the One They're Sh*t Talking | Captivated, By You",false,160,"Crunchyroll",@crunchyroll,ja
5ifAvdhVjmM,"Goth Auto-Tuned Ghost Girl vs A Vending Machine | Reborn as a Vending Machine",false,32,"Crunchyroll",@crunchyroll,ja
QqvuBY0MI3c,"Death by FOMO | My Dress-Up Darling Season 2",false,75,"Crunchyroll",@crunchyroll,ja
